,status,founded_at,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,category_code_advertising,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_AUS,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_USA,country_code_other,activedays
0,3,2007,2008.0,2008.0,1.0,5000000.0,2008.0,2012.0,3.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3,2008,2008.0,2008.0,1.0,4561780.722452607,1995.0,2012.0,4.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,2003,2011.0,2012.0,3.0,10125293.0,2010.0,2010.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6570
3,1,2010,2011.0,2011.0,1.0,100000.0,2010.0,2010.0,1.0,3.8906911456708704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4015
4,1,2004,2011.0,2011.0,1.0,1500000.0,2010.0,2010.0,1.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6205
5,1,2006,2007.0,2007.0,1.0,2500000.0,2010.0,2012.0,2.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5475
6,1,2004,2011.0,2011.0,1.0,4561780.722452607,2012.0,2012.0,1.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6205
7,1,2011,2011.0,2011.0,1.0,40000.0,2012.0,2012.0,1.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
8,1,2007,2007.0,2007.0,1.0,350000.0,2008.0,2008.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5110
9,1,2007,2009.0,2009.0,1.0,4561780.722452607,2007.0,2008.0,2.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
10,1,2008,2012.0,2012.0,1.0,3100000.0,2009.0,2012.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
11,0,2007,2007.0,2007.0,1.0,100000.0,2009.0,2009.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12,1,2007,2008.0,2008.0,1.0,280000.0,2008.0,2009.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5110
13,1,2001,2001.0,2001.0,1.0,4561780.722452607,2001.0,2001.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7300
14,3,2011,2011.0,2013.0,3.0,4000000.0,2012.0,2013.0,2.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,1,2011,2011.0,2013.0,3.0,3268000.0,2013.0,2013.0,1.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
16,1,1997,2007.0,2007.0,1.0,8500000.0,2009.0,2009.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8760
17,3,2011,2011.0,2011.0,1.0,250000.0,2011.0,2011.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,3,2008,2008.0,2010.0,3.0,1310000.0,2011.0,2013.0,2.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,1,2008,2009.0,2009.0,1.0,1000000.0,2008.0,2009.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
20,3,2007,2007.0,2013.0,3.0,15286415.0,2010.0,2010.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,1,2007,2007.0,2010.0,3.0,27000000.0,2012.0,2012.0,1.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
22,3,2007,2009.0,2011.0,3.0,14229998.0,2010.0,2011.0,3.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,1,2007,2008.0,2008.0,1.0,500000.0,2007.0,2011.0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5110
24,1,2011,2011.0,2011.0,1.0,100000.0,2011.0,2011.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
25,1,2008,2012.0,2013.0,2.0,27100000.0,2012.0,2012.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4745
26,3,2003,2004.0,2007.0,2.0,24300000.0,2005.0,2013.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27,3,2007,2008.0,2010.0,2.0,1750000.0,2007.0,2010.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1,1999,2006.0,2009.0,3.0,17900000.0,2010.0,2012.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8030
29,0,2007,2007.0,2007.0,1.0,4561780.722452607,2007.0,2013.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
